tosdr_document_name,ota_terms_type
parental guide,Safety Guidelines
privacy policy (in french),Privacy Policy
privacy policy and cookie statement,Trackers Policy
mail service user agreement,Terms of Service
data protection,Privacy Policy
master services agreement,Terms of Service
privacy,Privacy Policy
cookies & other technologies,Trackers Policy
privacy policy (en),Privacy Policy
biscuit policy,no match
cloud service user agreement,Terms of Service
cloud service privacy policy,Privacy Policy
conditions of use,Terms of Service
staff code of conduct,Community Guidelines
content ratings,no match
encryption details,Privacy Policy
privacy policy for bitdefender websites,Privacy Policy
notice of privacy practices,Privacy Policy
"privacy policy, domains addendum",Privacy Policy
privacy and cookies policy,Trackers Policy
it acceptable use policy,Acceptable Use Policy
data protection act,Privacy Policy
copyright guidance,Copyright Claims Policy
student registration document,no match
infinity search privacy policy,Privacy Policy
refinitiv terms of use,Terms of Service
"mod archive upload terms, conditions and license agreement",Terms of Service
policy on cookies and similar technologies,Trackers Policy
nintendo account user agreement,Terms of Service
law enforcement,Law Enforcement
2fa,Safety Guidelines
"privacy policy, addendum for users in california",Privacy Policy
copyright statement,Copyright Claims Policy
cookies used by the ripe ncc,Trackers Policy
cookies & interest-based ads policy,Trackers Policy
law enforcement request policy,Law Enforcement
licence,no match
additional terms,Terms of Service
nbc universal cookie policy,Trackers Policy
nbc universal privacy policy,Privacy Policy
coockie policy,Trackers Policy
membership agreement - usa users,Terms of Service
master terms of use,Terms of Service
master privacy policy,Privacy Policy
privacy policy (spanish),Privacy Policy
charter,Other
e621:terms of service,Terms of Service
takedown policy and process,Review Guidelines
privacy rules,Privacy Policy
nintendo tech support forums terms of use,Terms of Service
privacy policy for young users,Privacy Policy
accessibility,Corporate Social Responsibility
e621 community code of conduct and site rules,Community Guidelines
developer exchange terms of use,Developer Terms
rules of conduct,Community Guidelines
artist: avoid posting,no match
ethics policy,Corporate Social Responsibility
intellectual property rights policy,Copyright Claims Policy
about cookies,Trackers Policy
the fine print,no match
pandora subscription terms,Terms of Service
arbitration agreement,Law Enforcement
site notice,Legal Information
cookies and similar technology,Trackers Policy
returns and cancellations,General Conditions of Sale
academic policy,Legal Information
privacy notice: gdpr notice,Privacy Policy
legal mentions,Legal Information
general terms and conditions of sale,Terms of Service
cookies notice,Trackers Policy
sobre cookies,Trackers Policy
test,no match
cookie preferences,Trackers Policy
90-day premium trial code terms and conditions,Terms of Service
cc,no match
swiftype privacy & gdpr faq,Privacy Policy
legal and ethical,Legal Information
individual contributor license agreement,Terms of Service
secure my email privacy policy,Privacy Policy
policies,no match
yubico terms and conditions of sale and license,Terms of Service
help,no match
those responsible,no match
about sweet,no match
report copyright,Copyright Claims Policy
contributor covenant code of conduct,Community Guidelines
intrusta terms,Terms of Service
terms of service and rules,Terms of Service
cbs privacy policy,Privacy Policy
terms and conditions (pro),Terms of Service
terms and conditions (free),Terms of Service
comparison with other social networks,no match
cookies & other tracking technologies,Trackers Policy
hotspotshield terms,Terms of Service
"privacy policy - january 2, 2020",Privacy Policy
"terms & conditions of use - january 1, 2020",Terms of Service
policy on cookies,Trackers Policy
return and refund policy,General Conditions of Sale
definitions of content,no match
general privacy statement,Privacy Policy
integrity & privacy policy,Privacy Policy
comments policy,Community Guidelines
terms of use – general,Terms of Service
terms of use – pocket casts plus,Terms of Service
our privacy manifesto,Privacy Policy
responsible disclosure policy,Vulnerability Disclosure Policy
json,no match
kebijakan privasi,Privacy Policy
legal policy,Legal Information
terms and conditions of use,Terms of Service
terms of service square inc,Terms of Service
terms of use,Terms of Service
fraud & abuse,Safety Guidelines
payment policy,no match
your privacy and work smart,Privacy Policy
trivie cookie policy,Trackers Policy
privacy policy [german],Privacy Policy
workbench general terms,Terms of Service
vulnerability disclosure,Vulnerability Disclosure Policy
term of use,Terms of Service
notices,no match
sync server terms of service,Terms of Service
consumer purchase terms,Terms of Service
specific privacy statement,Privacy Policy
matrix.org privacy policy,Privacy Policy
"grand jury subpoena for signal user data, eastern district of virginia",Law Enforcement
privacy policy and terms,Privacy Policy
community geo-filter terms and conditions,Terms of Service
legal notice,Legal Information
online privacy,Privacy Policy
